vault,a_G,n_nodes,n_edges,format,tokens,node_fidelity,edge_fidelity,co_location_mean
synthetic-a1-tree,1,24,23,A,486,100.0,100.0,0.0
synthetic-a1-tree,1,24,23,B,583,100.0,100.0,34.0
synthetic-a1-tree,1,24,23,C,1030,100.0,100.0,33.0
synthetic-a1-tree,1,24,23,E,1418,100.0,100.0,0.0
synthetic-a2-cycle,2,30,30,A,629,100.0,100.0,0.0
synthetic-a2-cycle,2,30,30,B,702,100.0,100.0,40.2
synthetic-a2-cycle,2,30,30,C,1341,100.0,100.0,36.5
synthetic-a2-cycle,2,30,30,E,1869,100.0,100.0,0.0
brain/knowledge/world-model,3,465,476,A,21927,97.4,83.0,0.0
brain/knowledge/world-model,3,465,476,B,17186,92.9,75.2,485.3
brain/knowledge/world-model,3,465,476,C,79588,97.4,98.1,420.0
brain/knowledge/world-model,3,465,476,E,109376,100.0,100.0,0.0
synthetic-k5-core,4,36,41,A,782,100.0,100.0,0.0
synthetic-k5-core,4,36,41,B,820,100.0,100.0,51.9
synthetic-k5-core,4,36,41,C,1722,100.0,100.0,49.0
synthetic-k5-core,4,36,41,E,2350,100.0,100.0,0.0
synthetic-k9-core,6,42,69,A,1124,100.0,100.0,0.0
synthetic-k9-core,6,42,69,B,1010,100.0,100.0,68.0
synthetic-k9-core,6,42,69,C,2678,100.0,100.0,64.0
synthetic-k9-core,6,42,69,E,3314,100.0,100.0,0.0
synthetic-k15-core,11,52,142,A,2014,100.0,100.0,0.0
synthetic-k15-core,11,52,142,B,1432,100.0,100.0,108.7
synthetic-k15-core,11,52,142,C,5251,100.0,100.0,109.0
synthetic-k15-core,11,52,142,E,5924,100.0,100.0,0.0
